solid_PVDIS_ec_forwardangle_shield  |                root  |solid_PVDIS_ec_forwardangle_shield  |                              0*cm 0*cm 323.712*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |                Tube  |                         110*cm 265*cm 0.56*cm 0*deg 360*deg  |               G4_Pb  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_showe424  |                root  |solid_PVDIS_ec_forwardangle_showe424  |                     -39.116*cm -120.984*cm 350*cm  |                      0*deg 0*deg 30*deg  | ffff00   |                Pgon  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -21.728*cm 21.728*cm  |      G4_POLYSTYRENE  |                  no  |     1   |     1   |     1   |   1   |   1   |            solid_ec  |            solid_ec  |                       id manual 3100424 
solid_PVDIS_ec_forwardangle_showe424_lead1  |solid_PVDIS_ec_forwardangle_showe424  |solid_PVDIS_ec_forwardangle_showe424_lead1  |                              0*cm 0*cm -21.703*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |                Pgon  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.025*cm 0.025*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_showe424_gapfront1  |solid_PVDIS_ec_forwardangle_showe424  |solid_PVDIS_ec_forwardangle_showe424_gapfront1  |                              0*cm 0*cm -21.672*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Pgon  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_showe424_gapback1  |solid_PVDIS_ec_forwardangle_showe424  |solid_PVDIS_ec_forwardangle_showe424_gapback1  |                               0*cm 0*cm -21.51*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Pgon  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_showe424_lead2  |solid_PVDIS_ec_forwardangle_showe424  |solid_PVDIS_ec_forwardangle_showe424_lead2  |                              0*cm 0*cm -21.479*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |CopyOf solid_PVDIS_ec_forwardangle_showe424_lead1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_showe424_gapfront2  |solid_PVDIS_ec_forwardangle_showe424  |solid_PVDIS_ec_forwardangle_showe424_gapfront2  |                              0*cm 0*cm -21.448*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_PVDIS_ec_forwardangle_showe424_gapfront1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_showe424_gapback2  |solid_PVDIS_ec_forwardangle_showe424  |solid_PVDIS_ec_forwardangle_showe424_gapback2  |                              0*cm 0*cm -21.286*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_PVDIS_ec_forwardangle_showe424_gapback1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_showe424_lead3  |solid_PVDIS_ec_forwardangle_showe424  |solid_PVDIS_ec_forwardangle_showe424_lead3  |                              0*cm 0*cm -21.255*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |CopyOf solid_PVDIS_ec_forwardangle_showe424_lead1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_showe424_gapfront3  |solid_PVDIS_ec_forwardangle_showe424  |solid_PVDIS_ec_forwardangle_showe424_gapfront3  |                              0*cm 0*cm -21.224*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_PVDIS_ec_forwardangle_showe424_gapfront1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_showe424_gapback3  |solid_PVDIS_ec_forwardangle_showe424  |solid_PVDIS_ec_forwardangle_showe424_gapback3  |                              0*cm 0*cm -21.062*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_PVDIS_ec_forwardangle_showe424_gapback1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_showe424_lead4  |solid_PVDIS_ec_forwardangle_showe424  |solid_PVDIS_ec_forwardangle_showe424_lead4  |                              0*cm 0*cm -21.031*cm  |                       0*deg 0*deg 0*deg  | 0000ff   |CopyOf solid_PVDIS_ec_forwardangle_showe424_lead1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |               G4_Pb  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_showe424_gapfront4  |solid_PVDIS_ec_forwardangle_showe424  |solid_PVDIS_ec_forwardangle_showe424_gapfront4  |                                  0*cm 0*cm -21*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_PVDIS_ec_forwardangle_showe424_gapfront1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
solid_PVDIS_ec_forwardangle_showe424_gapback4  |solid_PVDIS_ec_forwardangle_showe424  |solid_PVDIS_ec_forwardangle_showe424_gapback4  |                              0*cm 0*cm -20.838*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |CopyOf solid_PVDIS_ec_forwardangle_showe424_gapback1  |0*deg 360*deg 6*counts 2*counts 0*cm 0*cm 5.413*cm 5.413*cm -0.006*cm 0.006*cm  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   0   |   1   |                  no  |                  no  |                                      no 
