solid_SIDIS_ec_largeangle_shower  |                root  |solid_SIDIS_ec_largeangle_shower  |                                  0*cm 0*cm -40*cm  |                       0*deg 0*deg 0*deg  | ff0000   |                Tube  |                        83*cm 140*cm 21.728*cm 0*deg 360*deg  |              G4_AIR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_layer_1  |solid_SIDIS_ec_largeangle_shower  |solid_SIDIS_ec_largeangle_layer_1  |                              0*cm 0*cm -21.616*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                         83*cm 140*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_layer_2  |solid_SIDIS_ec_largeangle_shower  |solid_SIDIS_ec_largeangle_layer_2  |                              0*cm 0*cm -21.392*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                         83*cm 140*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_layer_3  |solid_SIDIS_ec_largeangle_shower  |solid_SIDIS_ec_largeangle_layer_3  |                              0*cm 0*cm -21.168*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                         83*cm 140*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_layer_4  |solid_SIDIS_ec_largeangle_shower  |solid_SIDIS_ec_largeangle_layer_4  |                              0*cm 0*cm -20.944*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                         83*cm 140*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_layer_5  |solid_SIDIS_ec_largeangle_shower  |solid_SIDIS_ec_largeangle_layer_5  |                               0*cm 0*cm -20.72*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                         83*cm 140*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_layer_6  |solid_SIDIS_ec_largeangle_shower  |solid_SIDIS_ec_largeangle_layer_6  |                              0*cm 0*cm -20.496*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                         83*cm 140*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_layer_7  |solid_SIDIS_ec_largeangle_shower  |solid_SIDIS_ec_largeangle_layer_7  |                              0*cm 0*cm -20.272*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                         83*cm 140*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_layer_8  |solid_SIDIS_ec_largeangle_shower  |solid_SIDIS_ec_largeangle_layer_8  |                              0*cm 0*cm -20.048*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                         83*cm 140*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_layer_9  |solid_SIDIS_ec_largeangle_shower  |solid_SIDIS_ec_largeangle_layer_9  |                              0*cm 0*cm -19.824*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                         83*cm 140*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_layer_10  |solid_SIDIS_ec_largeangle_shower  |solid_SIDIS_ec_largeangle_layer_10  |                                0*cm 0*cm -19.6*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                         83*cm 140*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_layer_11  |solid_SIDIS_ec_largeangle_shower  |solid_SIDIS_ec_largeangle_layer_11  |                              0*cm 0*cm -19.376*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                         83*cm 140*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
solid_SIDIS_ec_largeangle_layer_12  |solid_SIDIS_ec_largeangle_shower  |solid_SIDIS_ec_largeangle_layer_12  |                              0*cm 0*cm -19.152*cm  |                       0*deg 0*deg 0*deg  | 80ff77   |                Tube  |                         83*cm 140*cm 0.112*cm 0*deg 360*deg  |            G4_MYLAR  |                  no  |     1   |     1   |     1   |   1   |   1   |                  no  |                  no  |                                      no 
